Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Fix versions,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (${field_Story_Points}),Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian Project),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field (Vulnerability),Custom field (Work item created forms),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
"As an Agile team, I'd like to learn about Scrum >> Click the ""SSP-1"" link at the left of this row to see detail in the Description tab on the right",SSP-1,10000,Story,To Do,SSP,Sample Scrum Project,software,MC Tan,63e48f5d010d35637975ddc5,"This is a sample Scrum project for JIRA Software.



Sample Sprint 1 started 21 days 10 hours 20 minutes ago ends 7 days 10 hours 20 minutes ago completed 7 days 11 hours 40 minutes ago



Sample Sprint 2 started 7 days 9 hours 10 minutes ago ends 6 days 15 hours 10 minutes 



",Medium,,,,MC Tan,63e48f5d010d35637975ddc5,MC Tan,63e48f5d010d35637975ddc5,12/Jun/26 5:07 PM,12/Jun/26 5:07 PM,,,Version 2.0,,0,,"*About Scrum*

Scrum is an iterative approach to Agile software development. The methodology has been around since the 1980s but was popularised by Jeff Sutherland and Ken Schwaber. 

Scrum breaks the development of a product down in to discrete iterations (termed Sprints) that each deliver functionality that could potentially be shipped to users.

The Scrum Alliance offers an excellent [introduction to Scrum|http://www.scrumalliance.org/resources/47] that provides an overview of key Scrum concepts, stakeholders, processes and artefacts.",,MC Tan,63e48f5d010d35637975ddc5,,,,,,,,,2.0,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,0|i00053:,,,,,,,,,,,,,,,,,,,,,,,,To Do,12/Jun/26 5:07 PM
"As a product owner, I'd like to express work in terms of actual user problems, aka User Stories, and place them in the backlog >> Try creating a new story with the ""+ Create Issue"" button (top right of screen)",SSP-2,10001,Story,To Do,SSP,Sample Scrum Project,software,MC Tan,63e48f5d010d35637975ddc5,"This is a sample Scrum project for JIRA Software.



Sample Sprint 1 started 21 days 10 hours 20 minutes ago ends 7 days 10 hours 20 minutes ago completed 7 days 11 hours 40 minutes ago



Sample Sprint 2 started 7 days 9 hours 10 minutes ago ends 6 days 15 hours 10 minutes 



",Medium,,,,MC Tan,63e48f5d010d35637975ddc5,MC Tan,63e48f5d010d35637975ddc5,12/Jun/26 5:07 PM,12/Jun/26 5:07 PM,,,Version 2.0,,0,,"When you click ""+ Create Issue"" you will be asked for the correct project (select ""Sample Scrum Project"") and Issue Type (select ""Story"").

*About User Stories*

The Scrum methodology drops traditional software requirement statements in favour of real world problems expressed as User Stories. Stories describe the task a particular user is trying to achieve and its value. They are typically of the form ""As a (role) I want (something) so that (benefit)"". This approach focuses the team on the core user need rather than on implementation details. 

Stories are ""placeholders for a conversation"" -- they do not need to be especially detailed since it is expected that the team will work together to resolve ambiguity as the story is developed. 

Stories to be implemented in the future are stored in the Product Backlog. The backlog is ranked by the Product Owner so that the next items to be completed are at the top.",,MC Tan,63e48f5d010d35637975ddc5,,,,,,,,,2.0,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,0|i0005b:,,,,,,,,,,,,,,,,,,,,,,,,To Do,12/Jun/26 5:07 PM
"As a product owner, I'd like to rank stories in the backlog so I can communicate the proposed implementation order >> Try dragging this story up above the previous story",SSP-3,10002,Story,To Do,SSP,Sample Scrum Project,software,MC Tan,63e48f5d010d35637975ddc5,"This is a sample Scrum project for JIRA Software.



Sample Sprint 1 started 21 days 10 hours 20 minutes ago ends 7 days 10 hours 20 minutes ago completed 7 days 11 hours 40 minutes ago



Sample Sprint 2 started 7 days 9 hours 10 minutes ago ends 6 days 15 hours 10 minutes 



",Medium,,,,MC Tan,63e48f5d010d35637975ddc5,MC Tan,63e48f5d010d35637975ddc5,12/Jun/26 5:07 PM,12/Jun/26 5:07 PM,,,Version 3.0,,0,,"*About the Product Backlog*

The backlog is the source of truth for the order of work to be completed. It is expected that the Product Owner will work with the team to make sure that the backlog represents the current approach to delivering the product. JIRA Software makes it easy to prioritise (rank) Stories by dragging them up and down the backlog.",,MC Tan,63e48f5d010d35637975ddc5,,,,,,,,,5.0,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,0|i0005j:,,,,,,,,,,,,,,,,,,,,,,,,To Do,12/Jun/26 5:07 PM
"As a team, I'd like to estimate the effort of a story in Story Points so we can understand the work remaining >> Try setting the Story Points for this story in the ""Estimate"" field",SSP-4,10003,Story,To Do,SSP,Sample Scrum Project,software,MC Tan,63e48f5d010d35637975ddc5,"This is a sample Scrum project for JIRA Software.



Sample Sprint 1 started 21 days 10 hours 20 minutes ago ends 7 days 10 hours 20 minutes ago completed 7 days 11 hours 40 minutes ago



Sample Sprint 2 started 7 days 9 hours 10 minutes ago ends 6 days 15 hours 10 minutes 



",Medium,,,,MC Tan,63e48f5d010d35637975ddc5,MC Tan,63e48f5d010d35637975ddc5,12/Jun/26 5:07 PM,12/Jun/26 5:07 PM,,,Version 3.0,,0,,"This story is estimated at 5 Story Points (as shown in the ""Estimate"" field at the top right of the Detail View). 

Try updating the Story Point estimate to 4 by clicking on the ""Estimate"" then typing.

*Estimating using Story Points*

Because the traditional process of estimating tasks in weeks or days is often wildly inaccurate, many Scrum teams estimate in Story Points instead. Story Points exist merely as a way to estimate a task's difficulty compared to some other task (for example, a 10-point story would probably take double the effort of a 5-point story). As teams mature with Scrum they tend to achieve a consistent number of Story Points from Sprint to Sprint -- this is termed the team's _velocity_. This allows the Product Owner to use the velocity to predict how many Sprints it will take to deliver parts of the backlog. 

Many teams use Planning Poker to achieve consensus on Story Point estimates.

*Using Other Estimation Units*

You can configure JIRA Software to use time-based estimates if you wish. In the configuration for the board, on the ""Estimation"" tab, select ""Original Time Estimate"" as your Estimation Statistic. If you also wish to track the time used during the Sprint, select ""Remaining Estimate and Time Spent"" to enable Time Tracking in JIRA Software.",,MC Tan,63e48f5d010d35637975ddc5,,,,,,,,,5.0,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,0|i0005r:,,,,,,,,,,,,,,,,,,,,,,,,To Do,12/Jun/26 5:07 PM
"As a team, I'd like to commit to a set of stories to be completed in a sprint (or iteration) >> Click ""Create Sprint"" then drag the footer down to select issues for a sprint (you can't start a sprint at the moment because one is already active)",SSP-5,10004,Story,To Do,SSP,Sample Scrum Project,software,MC Tan,63e48f5d010d35637975ddc5,"This is a sample Scrum project for JIRA Software.



Sample Sprint 1 started 21 days 10 hours 20 minutes ago ends 7 days 10 hours 20 minutes ago completed 7 days 11 hours 40 minutes ago



Sample Sprint 2 started 7 days 9 hours 10 minutes ago ends 6 days 15 hours 10 minutes 



",Medium,,,,MC Tan,63e48f5d010d35637975ddc5,MC Tan,63e48f5d010d35637975ddc5,12/Jun/26 5:07 PM,12/Jun/26 5:07 PM,,,,,0,,"*Starting a Sprint*

During the Planning Meeting the team will examine the stories at the top of the backlog and determine which they can commit to completing during the coming sprint. Based on this information the Product Owner might break down stories into smaller stories, adjust story priorities or otherwise work with the team to define the ideal sprint outcome. When the sprint is started the stories are moved into the sprint backlog.",,MC Tan,63e48f5d010d35637975ddc5,,,,,,,,,1.0,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,0|i0005z:,,,,,,,,,,,,,,,,,,,,,,,,To Do,12/Jun/26 5:07 PM
"As a scrum master, I'd like to break stories down into tasks we can track during the sprint >> Try creating a task by clicking the Sub-Tasks tab in the Detail View on the right",SSP-6,10005,Story,To Do,SSP,Sample Scrum Project,software,MC Tan,63e48f5d010d35637975ddc5,"This is a sample Scrum project for JIRA Software.



Sample Sprint 1 started 21 days 10 hours 20 minutes ago ends 7 days 10 hours 20 minutes ago completed 7 days 11 hours 40 minutes ago



Sample Sprint 2 started 7 days 9 hours 10 minutes ago ends 6 days 15 hours 10 minutes 



",Medium,,,,MC Tan,63e48f5d010d35637975ddc5,MC Tan,63e48f5d010d35637975ddc5,12/Jun/26 5:07 PM,12/Jun/26 5:07 PM,,,,,0,,"*Task Breakdown*

Many teams choose to break down user stories into a set of tasks needed to implement the story. They then update the status of these tasks during a sprint to track progress. The completion of the last task signals the end of the story. 

You can add sub-tasks to a story on the sub-task tab (folder icon) above.",,MC Tan,63e48f5d010d35637975ddc5,,,,,,,,,1.0,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,0|i00067:,,,,,,,,,,,,,,,,,,,,,,,,To Do,12/Jun/26 5:07 PM
This is a sample task. Tasks are used to break down the steps to implement a user story,SSP-7,10006,Sub-task,To Do,SSP,Sample Scrum Project,software,MC Tan,63e48f5d010d35637975ddc5,"This is a sample Scrum project for JIRA Software.



Sample Sprint 1 started 21 days 10 hours 20 minutes ago ends 7 days 10 hours 20 minutes ago completed 7 days 11 hours 40 minutes ago



Sample Sprint 2 started 7 days 9 hours 10 minutes ago ends 6 days 15 hours 10 minutes 



",Medium,,MC Tan,63e48f5d010d35637975ddc5,MC Tan,63e48f5d010d35637975ddc5,MC Tan,63e48f5d010d35637975ddc5,12/Jun/26 5:07 PM,12/Jun/26 5:07 PM,,,,,0,,,,MC Tan,63e48f5d010d35637975ddc5,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,0|i0001b:,,,,,,,,,,,,,,,,,,12/Jun/26 5:07 PM;63e48f5d010d35637975ddc5;Hello,,,10005,SSP-6,"As a scrum master, I'd like to break stories down into tasks we can track during the sprint >> Try creating a task by clicking the Sub-Tasks tab in the Detail View on the right",To Do,12/Jun/26 5:07 PM
"As a product owner, I'd like to include bugs, tasks and other issue types in my backlog >> Bugs like this one will also appear in your backlog but they are not normally estimated",SSP-8,10007,Bug,To Do,SSP,Sample Scrum Project,software,MC Tan,63e48f5d010d35637975ddc5,"This is a sample Scrum project for JIRA Software.



Sample Sprint 1 started 21 days 10 hours 20 minutes ago ends 7 days 10 hours 20 minutes ago completed 7 days 11 hours 40 minutes ago



Sample Sprint 2 started 7 days 9 hours 10 minutes ago ends 6 days 15 hours 10 minutes 



",Medium,,,,MC Tan,63e48f5d010d35637975ddc5,MC Tan,63e48f5d010d35637975ddc5,12/Jun/26 5:07 PM,12/Jun/26 5:07 PM,,,Version 2.0,,0,,"*Estimation of Bugs*

Scrum teams do not normally apply story point estimates to bugs because bugs are considered to be part of the ongoing work that the team must deal with (i.e the overhead). If you view the story points completed in a sprint as a measure of progress, then bugs also have no value because they do not deliver anything additional to the customer. 

However, you can apply estimates to bugs if you wish by configuring the ""Story Points"" field to apply to other Issue Types (by default it only applies to Stories and Epics). Some more information on this is in the [documentation|https://confluence.atlassian.com/display/GH/Story+Point].",,MC Tan,63e48f5d010d35637975ddc5,,,,,,,,,,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,0|i0006f:,,,,,,,,,,,,,,,,,,,,,,,,To Do,12/Jun/26 5:07 PM
"As a developer, I'd like to update story status during the sprint >> Click the Active sprints link at the top right of the screen to go to the Active sprints where the current Sprint's items can be updated",SSP-9,10008,Story,To Do,SSP,Sample Scrum Project,software,MC Tan,63e48f5d010d35637975ddc5,"This is a sample Scrum project for JIRA Software.



Sample Sprint 1 started 21 days 10 hours 20 minutes ago ends 7 days 10 hours 20 minutes ago completed 7 days 11 hours 40 minutes ago



Sample Sprint 2 started 7 days 9 hours 10 minutes ago ends 6 days 15 hours 10 minutes 



",Medium,,,,MC Tan,63e48f5d010d35637975ddc5,MC Tan,63e48f5d010d35637975ddc5,12/Jun/26 5:07 PM,12/Jun/26 5:07 PM,,,,,0,,,,MC Tan,63e48f5d010d35637975ddc5,,,,,,,,,3.0,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,0|i0006n:,,,,,,,,,,,,,,,,,,,,,,,,To Do,12/Jun/26 5:07 PM
"As a developer, I can update story and task status with drag and drop (click the triangle at far left of this story to show sub-tasks)",SSP-10,10009,Story,In Progress,SSP,Sample Scrum Project,software,MC Tan,63e48f5d010d35637975ddc5,"This is a sample Scrum project for JIRA Software.



Sample Sprint 1 started 21 days 10 hours 20 minutes ago ends 7 days 10 hours 20 minutes ago completed 7 days 11 hours 40 minutes ago



Sample Sprint 2 started 7 days 9 hours 10 minutes ago ends 6 days 15 hours 10 minutes 



",Medium,,MC Tan,63e48f5d010d35637975ddc5,MC Tan,63e48f5d010d35637975ddc5,MC Tan,63e48f5d010d35637975ddc5,05/Jun/26 7:57 AM,12/Jun/26 5:07 PM,12/Jun/26 5:11 PM,,Version 2.0,,0,,,,MC Tan,63e48f5d010d35637975ddc5,,,,,,,,,5.0,,,ApprovalsCFValue{approvals=[]},,,,,,,,,,,,,,,,,0|i0006v:,,,Sample Sprint 2,,,,,,,,,,,,,,,05/Jun/26 7:57 AM;63e48f5d010d35637975ddc5;Joined Sample Sprint 2 7 days 9 hours 10 minutes ago,,,,,,In Progress,12/Jun/26 5:07 PM
